absolute permalink,絶対パーマリンク,,
Additional Details,追加詳細,,
additional information,追加情報,,
Alternate Direction,代替方向,,
alternative formats,代替フォーマット,,
Alternative Templating Languages,代替テンプレート言語,,
alternative views,代替ビュー,,
always on,常時稼働,,
appservice,アプリサービス,,
archetype,アーキタイプ,,
archetypes,アーキタイプ,,
article,記事,,
artifacts,アーティファクト,,
Asset bundling,アセットバンドル,,
Asset directory,アセットディレクトリ,,
Asset file,アセットファイル,,
Asset Publishing,アセット公開,,
Assumptions,前提条件,,
at intervals,定期的に,,
Authenticating modules,モジュールを認証する,,
autocompletion script ,オートコンプリート スクリプト,,
Automatic builds,自動ビルド,,
Automatic Loading,オートローディング,,
automatic redirection,自動リダイレクト,,
Automatic updates,自動更新,,
Babel,Babel,,
backing map,バッキング マップ,,
backward compatiiblity,後方互換性,,
Base Templates and Blocks,ベーステンプレートとブロック,,
base version,ベースバージョン,,
basic content files,基本コンテンツファイル,,
block constructs,ブロック構造,,
block templates,ブロックテンプレート,,
Blockquotes,ブロック引用,,
boolean,ブール値,,
boolean operators,ブール演算子,,
Branch Bundle,ブランチバンドル,,
breaking changes ,破壊的な変更,,
browser,ブラウザ,,
browser script,ブラウザ スクリプト,,
Build,ビルドする (構築する),,
build cache,ビルドキャッシュ,,
Build commands,ビルドコマンド,,
Build constraints,ビルド制約,,
build list,ビルドリスト,,
Build Option,ビルドオプション,,
Build Performance,ビルド性能,,
Build Presets,ビルドプリセット,,
build script ,ビルドスクリプト,,
built-in,組み込み,,
Bypassing,回避する,,
cache files,キャッシュ ファイル,,
Caching,キャッシュ化,,
caching capabilities,キャッシュ機能,,
caching directory,キャッシュ ディレクトリ,,
canonical,正規,,
case-encoded,大文字と小文字のエンコード,,
casing,ケーシング,大文字表記,
chained pipeline,チェーン パイプライン,,
Channel,チャネル,,
checksum database,チェックサム データベース,,
chrome of the page,ページのクロム,？,
CJK,日中韓 (CJK),,
Clauses,句,,
clone the repo,リポジトリのクローン,,
closed,クローズド,,
Closing,終了,,
Cloud provider,クラウド プロバイダー,,
Code Blocks,コードブロック,,
code highlighting,コードのハイライト表示,,
code points,コードポイント,,
code snippet,コード スニペット,,
collaborators,協力者,,
comma,カンマ,,
comment block,コメントブロック,,
comment injection,コメント インジェクション,,
Commercial project,商用プロジェクト,,
Commercial Services,商用サービス,,
commit hash,コミットハッシュ,,
commit hash prefix,コミットハッシュ プレフィックス,,
commit log,コミットログ,,
commit message,コミットメッセージ,,
Community Projects,コミュニティ プロジェクト,,
completion,補完,,
concepts,概念,,
concurrency issue,同時実行の問題,,
configuration environment variables,コンフィギュレーション環境変数,,
Configuration format specs,設定ファイルのフォーマット仕様,,
configuration lookup order,設定ファイルの検索順序,,
configuration settings,コンフィギュレーション設定,,
configuration variables,設定変数,,
Configure Languages,言語を設定する,,
Conflict Detection,競合検出,,
“consistency” proofs,「整合」証明,,
constructs,構成,構造体,
consume,消費する,,
consumer,コンシューマー,モジュールにオプトインしたコード,
consuming module,消費モジュール,,
content archetypes,コンテンツ アーキタイプ,,
content body ,コンテンツの本文,,
Content Directory,コンテンツディレクトリ,,
content entries,コンテンツエントリ,,
Content File,コンテンツファイル,,
Content Format,コンテンツ形式,,
Content item,コンテンツアイテム,,
Content List,コンテンツリスト,,
Content Management,コンテンツ管理,,
Content Organization,コンテンツ構成,,
Content page,コンテンツページ,,
content renderer ,コンテンツ レンダラー,,
Content Sections,コンテンツセクション,,
Content Summaries,コンテンツサマリー,,
content teams,コンテンツ チーム,,
content templates,コンテンツ テンプレート,,
content type,コンテンツタイプ,,
content view,コンテンツビュー,,
content view templates,コンテンツビュー テンプレート,,
context,コンテキスト,,
continuous deployment,継続的デプロイ,,
continuous deploys,継続的デプロイ,,
Contribute to ,に貢献する,,
Contribution Guide,貢献ガイド,,
contribution guidelines,貢献ガイドライン,,
Contribution Workflow,貢献ワークフロー,,
contributor license agreement,貢献者ライセンス同意書,,
contributors,貢献者,コントリビューター,
convention,慣例,,
Credentials,認証情報,,
Cross Reference,クロスリファレンス,相互参照,
cryptographic hash,暗号化ハッシュ,,
current context,現在のコンテキスト,,
current directory,カレントディレクトリ,,
current module,カレントモジュール,,
custom build tags,カスタムビルドタグ,,
custom data,カスタムデータ,,
Custom Domain,カスタムドメイン,,
custom domains,カスタムドメイン,,
custom import paths,カスタムインポートパス,,
custom layouts ,カスタム レイアウト,,
custom metadata,カスタム メタデータ,,
custom shortcodes,カスタム ショートコード,,
custom taxonomy,カスタム タクソノミー,,
custom text format,カスタムテキスト形式,,
Data Templates,データテンプレート,,
Data-driven Content,データ駆動型コンテンツ,,
defang,無害化する,,
default ordering,デフォルトの順序付け,,
default sort,デフォルトのソート,,
Default Templates,デフォルトのテンプレート,,
delimiter,区切り文字,区切り記号,デリミタ
dependency manager,依存関係マネージャー,,
Deploy,デプロイ,,
deploy hook,デプロイフック,,
deploy token ,デプロイトークン,,
Deployment,デプロイ,,
deployment,デプロイメント,,
deployment target,デプロイ ターゲット,,
DEPRECATED,非推奨,,
deprecations,非推奨,,
derivatives,派生製品,,
Description,説明文,,
Developer tool,デベロッパーツール,,
Diagram,ダイアグラム ,,
diamond dependency problem,ダイヤモンド依存関係問題,,
direct dependency,直接依存,,
direct mode,ダイレクトモード,,
directed graph,有向グラフ,,
Directives,ディレクティブ,,
directory entry,ディレクトリ エントリ,,
discussion,議論,,
Docs,ドキュメント,,
Documentation,ドキュメント作成,,
domain mapping,ドメイン マッピング,,
draft,下書き,,
draft mode,ドラフトモード,,
dry,ドライ,,
dry run,ドライラン (予行演習),,
Duotone,ダブルトーン,,
duration number,継続時間の値,,
dynamic path,動的パス,,
Editor,エディター,,
Editor Plug-ins,エディター プラグイン,,
element prefix,要素プレフィックス,,
Embedded rss.xml,埋め込み型 rss.xml,,
empty string,空文字列,,
entry,エントリ,,
error fallback,エラーフォールバック,,
experimental,実験的な機能,,
expiration date,有効期限,,
fallback,フォールバック,,
file cache,ファイルキャッシュ,,
File Location,ファイルの場所,,
file permissions,ファイルパーミッション,,
file tree,ファイルツリー,,
File Variables,ファイル変数,,
filter,フィルター,,
filter chain,フィルターチェーン,,
Filter Method,フィルターメソッド,,
Filtering,フィルタリング,,
Filters,フィルタリングします,,
filters to title casing,タイトルケーシングにフィルタリング,,
Fingerprinting,フィンガープリント,,
Folder,フォルダー,,
fork repository,フォーク リポジトリ,,
format contents,フォーマットコンテンツ,,
format listing,形式リスト,,
format template,フォーマット テンプレート,,
Formatting,書式設定,,
formatting layouts,フォーマット レイアウト,,
formatting verbs,フォーマット動詞,,
forward slash,フォワードスラッシュ,,
Frequently Asked Questions,よくある質問,,
Front Matter,フロントマター,,
Front Matter Cascade,フロントマターのカスケード,,
Front Matter field,フロントマター フィールド,,
Front Matter Format ,フロントマターのフォーマット,,
Front Matter Format Specs,フロントマターのフォーマット仕様,,
Front Matter method,フロントマター メソッド,,
front matter param,フロントマター パラメータ,,
Frontends,フロントエンド,,
full module mode,フルモジュールモード,,
Function,関数,,
fuzzy matching,ファジーマッチング,,
generator tag,ジェネレーター タグ,,
Git Info Variables,GIt Info 変数,,
Git Variables,Git 変数,,
git-backed,Git ベースの,,
GitHub Action,GitHub Actions,,
Github Action Workflow ,Github Actions のワークフロー,,
glob pattern,glob パターン,,
global access,グローバル アクセス,,
global context,グローバル コンテキスト,,
global Resources,グローバル リソース,,
Go docs,Go ドキュメント,,
Go Modules ,Go モジュール,,
Google Analytics,Google アナリティクス,,
gotchas,「落とし穴」,,
Group Content,グループコンテンツ,,
group methods,グループメソッド,,
Grouping,グループ化,,
handler,ハンドラー,,
Header link,ヘッダーリンク,,
Headings,見出し,,
Headless Bundle,ヘッドレス バンドル,,
help pages,ヘルプページ,,
highlight,ハイライト表示する,,
Highlight Shortcode,ハイライト ショートコード,,
highlighter,ハイライター,,
highlighting shortcode,ハイライト ショートコード,,
Homepage Template,ホームページ テンプレート,,
hook template,フックテンプレート,,
Hosting,ホスティング,,
hosting environment,ホスティング環境,,
Hugo Modules,Hugo モジュール,,
Hugo Themes,Hugo テーマ,,
humanize,人間化した,,
Identifier,識別子,,
identity,ID,,
Image Filters,画像フィルター,,
image page resources,画像ページのリソース,,
Image Processing,画像処理,,
Image Processing Config,画像処理の設定,,
imaging configuration,画像設定,,
immutable,イミュータブル,,
import compatibility rule,インポート互換性ルール,,
import path,インポートパス,,
“inclusion” proofs,「包含」証明,,
index file,インデックス ファイル,,
index object,インデックス オブジェクト,,
index page,インデックスページ,,
indirect dependency,間接依存,,
Initial Caps,イニシャルキャップ,各単語の最初の文字を全て大文字にする表記法,
injection vector,インジェクション ベクトル,,
Inline Shortcodes,インライン ショートコード,,
installation guide,インストールガイド,,
integrity string,integrity 文字列,MDN Web Docs より,
interface,インターフェイス,,
Internal Templates,内部テンプレート,,
interpreted string,解釈された文字列,,
introduction,はじめに,,
Invalid,無効,,
invalidation,無効化,,
iteration,反復処理,,
JavaScript Building,JavaScript のビルド,,
justification,正当性,,
Key value,キー値,,
Last Modified Date,最終更新日,,
lazy module loading,遅延モジュールロード,,
Leaf Bundle,リーフバンドル,,
Lexical elements,字句要素,,
lexical restrictions,字句制限,,
list,一覧表示する,,
list context,リスト コンテキスト,,
List Page Templates,リストページ テンプレート,,
list parameters,リストパラメータ,,
List Templates,リストテンプレート,,
live channel,ライブチャンネル,,
Live reload,ライブリロード,,
local branches,ローカル ブランチ,,
local clone,ローカル クローン,,
Local File Templates,ローカルファイル テンプレート,,
local scope,ローカル スコープ,,
local timezones,ローカル タイムゾーン,,
lookup order,検索順序,,
main module,メインモジュール,,
maintainer,メンテナー,,
Major Branch (approach),メジャーブランチ (方式),,
Major Subdirectory (approach),メジャー サブディレクトリ (方式),,
major version subdirectory,メジャーバージョン サブディレクトリ,,
Major version suffixes,メジャーバージョン サフィックス,,
Manual Deploy,手動デプロイ,,
Markdown,Markdown,,
master repository,master リポジトリ,,
master template,マスターテンプレート,,
matrix build ,マトリックス ビルド,,
Media Type,メディアタイプ,,
menu bar,メニューバー,,
Menu entry,メニューエントリ,,
Menu Entry Properties,メニューエントリ プロパティ,,
menu item,メニュー項目,,
menu template,メニュー テンプレート,,
Menu Templates,メニューテンプレート,,
Metric Name,指標名,,
Migrations,移行,,
migrator.,移行ツール,,
minification,ミニファイ,,
Minify,ミニファイ,,
minimal module awareness,最小限のモジュール認識 (メカニズム),,
minimal module compatibility,最小モジュール互換性,,
"Minimal Version Selection",最小バージョン選択,,
mirror,ミラーリングする,,
Modifications,変更,,
modifier,修飾子,,
modifier class,修飾クラス,,
Module cache,モジュールキャッシュ,,
module commands,モジュールコマンド,,
module dependency graph,モジュール依存関係グラフ,,
module graph pruning,モジュールグラフの刈り込み,,
module mirror,モジュールミラー,,
module mode,モジュールモード,,
module path prefixes,モジュールパスのプレフィックス,,
module prefixes,モジュールのプレフィックス,,
module proxies,モジュールプロキシ,,
module proxy servers,モジュールプロキシサーバー,,
module requirement,モジュール要件,,
module requirement graph,モジュール要件グラフ,,
Module source code,モジュール ソースコード,,
module subdirectory,モジュール サブディレクトリ,,
module versions,モジュールバージョン,,
Module-aware,モジュール対応,,
mount option,マウント オプション,,
multilingual,多言語対応,,
multilingual feature,多言語機能,,
multilingual project,多言語プロジェクト,,
Multilingual Themes support,多言語テーマへの対応,,
N.B.,注意せよ,,
Named Parameters,名前付きパラメータ,,
NB.,注意:,,
Nesting,ネスト,,
non-page,非ページ,,
nonmodule,非モジュール,,
Notation,記法,,
Note:,注意:,,
open source ,オープンソース,,
Opening,開始,,
order,順序付けする,,
Order Content,コンテンツを並べる,,
ordered parameters,順序付きパラメータ,,
ordering,順序付け,,
Ordering and Grouping Hugo Lists,Hugo リストの順序付けとグループ化,,
Ordering method,順序付け方法,,
Organization of Content Source,コンテンツソースの構成,,
organization structure ,組織構造,,
output formats,出力形式,,
override,オーバーライドする,,
overwrite,上書きする,,
package manager,パッケージ マネージャー,,
Package path,パッケージパス,,
package pattern ,パッケージパターン,,
Page Bundles,ページバンドル,,
page collection,ページ コレクション,,
Page Content,ページコンテンツ,,
Page Context,ページコンテクスト,,
Page Field,ページフィールド,,
Page Kind,ページの種類,,
Page Lookup,ページ参照,,
Page Parameter,ページパラメータ,,
Page Resources,ページリソース,,
Page Variables,ページ変数,,
Page-level Params,ページレベルのパラメータ,,
Pages Methods,ページメソッド,,
Pagination,ページ付け,MDN Web Docs より,
paginator,ページネーター,,
Parameter,パラメータ,,
Params,パラメータ,,
partial,パーシャル,,
partial cached function,パーシャル キャッシュ関数,,
partial template,パーシャルテンプレート,,
patch version,パッチバージョン,,
Path Breakdown,パスの内訳,,
pattern matching,パターン マッチング,,
Permalinks,パーマリンク,,
Permanent link,パーマネント リンク,,
permission,パーミッション,,
personal access tokens ,パーソナルアクセストークン,,
Pipe chain,パイプチェーン,,
Pipes,パイプ,,
placeholder,プレースホルダー,,
Positional Parameters,位置指定パラメータ,,
Post,投稿,,
PostProcess,後処理,,
pre-release versions,プレリリース バージョン,,
predefined variable,定義済み変数,,
prerequisites,前提条件,,
Pretty URLs,プリティー URL,,
privacy policy,プライバシーポリシー,,
private modules,プライベートモジュール,,
Private proxy,プライベートプロキシ,,
private proxy server,プライベート プロキシサーバー,,
private repositories,プライベートリポジトリ,,
private server,プライベートサーバー,,
Private use subtags,私的利用のサブタグ,,
processor,プロセッサー,,
production,生成,,
project configuration,プロジェクト設定,,
project directory,プロジェクト ディレクトリ,,
project directory,プロジェクト ディレクトリ,,
Project Pages,プロジェクト ページ,,
project root,プロジェクト ルート,,
project template,プロジェクト テンプレート,,
proposal,プロポーザル,,
Provider,プロバイダー,,
proxies,プロキシ,,
proxy server,プロキシサーバー,,
pseudo-elements,疑似要素,,
pseudo-version,疑似バージョン,,
public interface,パブリック インターフェイス,,
public internet,公共のインターネット,,
public module proxy,パブリックモジュールプロキシ,,
public modules,パブリックモジュール,,
public proxies,パブリックプロキシ,,
public repository,パブリック リポジトリ,,
public servers,公開サーバー,,
Publish Date,公開日,,
Pull Request,プルリクエスト,,
Pull Zone,プルゾーン,,
query,問い合わせる,,
query parameter,クエリパラメータ,,
quick-and-dirty,手っ取り早い,間に合わせの,英次郎
Quiet mode,クワイエットモード,,
random permutation,ランダム置換,,
Raw string,生の文字列,Raw (生) 文字列,
"""Read More..."" ",「続きを読む...」,,
rebuild,リビルド,,
regular page,通常ページ,,
Related Content,関連コンテンツ,,
relative permalink,相対パーマリンク,,
Release versions,リリースバージョン,,
remote repository,リモートリポジトリ,,
remote target,リモートターゲット,,
render hooks,レンダーフック,,
rendering functionality,レンダリング機能,,
replacement module,置換モジュール,,
Repository packages,リポジトリ パッケージ,,
repository root path,リポジトリルートパス,,
representation ,表現,,
reserved,予約済み,,
resource object,リソースオブジェクト,,
response,レスポンス,,
retracted,撤回,,
retractions,撤回,,
Returns,戻り値,,
Reverse method,リバースメソッド,,
Reverse Order,逆順,,
revision tag,リビジョンタグ,,
root directory,ルートディレクトリ,,
root prefix,ルートプレフィックス,,
scaffolding,足場かけ (スキャフォールディング),,
